meeting_key,session_key,driver_number,lap_number,date_start,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,is_pit_out_lap,lap_duration,segments_sector_1,segments_sector_2,segments_sector_3,st_speed
1239,9550,1,1,2024-06-30T13:03:02.157000+00:00,20.453,31.028,20.96,300.0,229.0,False,72.441,"[2048, 2051, 2051, 2051, 2049, 2049]","[2051, 2051, 2049, 2049, 2051, 2049, 2051]","[2051, 2051, 2049, 2051, 2049, 2049, 2051]",291.0
1239,9550,4,1,2024-06-30T13:03:02.157000+00:00,21.011,31.567,21.097,297.0,229.0,False,73.675,"[None, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2051, 2051, 2051]",289.0
1239,9550,11,1,2024-06-30T13:03:02.157000+00:00,22.344,32.476,21.802,308.0,222.0,False,76.622,"[2048, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]",295.0
1239,9550,16,1,2024-06-30T13:03:02.157000+00:00,22.843,32.797,26.871,301.0,219.0,False,82.511,"[None, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2064, 2064, 2064]",298.0
1239,9550,44,1,2024-06-30T13:03:02.157000+00:00,21.513,32.193,21.528,308.0,231.0,False,75.234,"[2048, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2051, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]",293.0
1239,9550,63,1,2024-06-30T13:03:02.157000+00:00,21.056,32.359,21.359,306.0,232.0,False,74.774,"[2048, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2051, 2049, 2049, 2049, 2051]",296.0
1239,9550,1,2,2024-06-30T13:04:14.597000+00:00,17.697,31.186,21.055,290.0,227.0,False,69.938,"[2049, 2049, 2048, 2049, 2049, 2048]","[2048, 2049, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2049, 2051, 2048]",286.0
1239,9550,4,2,2024-06-30T13:04:15.831000+00:00,17.484,31.318,21.011,300.0,228.0,False,69.813,"[2049, 2049, 2051, 2049, 2049, 2049]","[2048, 2049, 2048, 2049, 2048, 2049, 2048]","[2048, 2049, 2051, 2049, 2048, 2048]",292.0
1239,9550,63,2,2024-06-30T13:04:16.930000+00:00,17.469,31.731,21.38,295.0,225.0,False,70.58,"[2049, 2051, 2049, 2049, 2048, 2048]","[2048, 2049, 2048, 2048, 2049, 2048, 2048]","[2049, 2048, 2048, 2049, 2049, 2049, 2051]",298.0
1239,9550,44,2,2024-06-30T13:04:17.390000+00:00,17.33,31.68,21.52,320.0,219.0,False,70.53,"[2049, 2049, 2049, 2049, 2049, 2049]","[2048, 2049, 2049, 2049, 2049, 2049, 2048]","[2048, 2048, 2049, 2048, 2048, 2049, 2051]",312.0
1239,9550,11,2,2024-06-30T13:04:18.778000+00:00,17.502,31.56,21.559,312.0,222.0,False,70.621,"[2049, 2049, 2049, 2049, 2049, 2049]","[2048, 2051, 2049, 2049, 2049, 2049, 2048]","[2049, 2049, 2049, 2049, 2049, 2048, 2049]",304.0
1239,9550,16,2,2024-06-30T13:04:24.667000+00:00,45.822,31.679,21.306,292.0,225.0,True,98.807,"[None, 2064, 2064, 2048, 2048, 2048]","[2049, 2049, 2048, 2048, 2049, 2048, 2049]","[2049, 2049, 2049, 2049, 2051, 2049, 2049]",287.0
1239,9550,1,3,2024-06-30T13:05:24.628000+00:00,17.531,31.065,21.261,292.0,230.0,False,69.857,"[None, 2049, 2051, 2049, 2049, 2048]","[2048, 2048, 2048, 2048, 2048, 2049, 2048]","[2048, 2048, 2049, 2048, 2048, 2048, 2048]",286.0
1239,9550,4,3,2024-06-30T13:05:26.122000+00:00,17.583,31.63,21.315,296.0,225.0,False,70.528,"[2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",288.0
1239,9550,63,3,2024-06-30T13:05:27.617000+00:00,17.801,31.483,21.157,287.0,224.0,False,70.441,"[2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2049, 2049, 2049, 2048, 2049]","[2049, 2049, 2048, 2049, 2049, 2048, 2048]",308.0
1239,9550,44,3,2024-06-30T13:05:28.053000+00:00,17.378,31.936,21.409,318.0,233.0,False,70.723,"[2049, 2048, 2048, 2048, 2049, 2048]","[2049, 2048, 2048, 2048, 2048, 2048, 2048]","[2049, 2048, 2049, 2049, 2048, 2049, 2051]",289.0
1239,9550,11,3,2024-06-30T13:05:29.434000+00:00,17.235,31.783,21.701,310.0,222.0,False,70.719,"[2049, 2049, 2049, 2048, 2049, 2049]","[2048, 2048, 2048, 2049, 2048, 2048, 2049]","[2048, 2048, 2048, 2049, 2049, 2048, 2049]",300.0
1239,9550,16,3,2024-06-30T13:06:03.570000+00:00,17.709,31.676,21.353,295.0,226.0,False,70.738,"[2049, 2049, 2049, 2049, 2049, 2048]","[2049, 2048, 2048, 2048, 2049, 2048, 2048]","[2048, 2048, 2049, 2048, 2048, 2049, 2048]",287.0
1239,9550,1,4,2024-06-30T13:06:34.454000+00:00,17.571,31.18,21.152,293.0,230.0,False,69.903,"[2048, 2048, 2048, 2049, 2048, 2049]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2049, 2048, 2048, 2048, 2048]",289.0
1239,9550,4,4,2024-06-30T13:06:36.367000+00:00,17.651,31.55,21.188,291.0,228.0,False,70.389,"[2049, 2048, 2048, 2049, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",285.0
1239,9550,63,4,2024-06-30T13:06:37.994000+00:00,17.555,31.631,21.281,296.0,228.0,False,70.467,"[2049, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2049]","[2049, 2048, 2051, 2048, 2048, 2048, 2048]",289.0
1239,9550,44,4,2024-06-30T13:06:38.680000+00:00,17.336,31.922,21.363,309.0,229.0,False,70.621,"[2048, 2048, 2048, 2049, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2049]","[2049, 2048, 2049, 2049, 2049, 2048, 2048]",297.0
1239,9550,11,4,2024-06-30T13:06:40.213000+00:00,17.394,31.724,21.673,307.0,221.0,False,70.791,"[None, 2048, 2048, 2048, 2048, 2048]","[2049, 2048, 2048, 2048, 2049, 2048, 2048]","[2048, 2048, 2048, 2048, 2049, 2048, 2049]",305.0
1239,9550,16,4,2024-06-30T13:07:14.238000+00:00,17.685,31.248,21.393,,227.0,False,70.326,"[2048, 2049, 2049, 2048, 2049, 2048]","[2049, 2049, 2048, 2048, 2049, 2048, 2049]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",289.0
1239,9550,1,5,2024-06-30T13:07:44.347000+00:00,17.674,31.153,21.178,,230.0,False,70.005,"[2049, 2048, 2048, 2048, 2048, 2049]","[2048, 2048, 2048, 2049, 2048, 2048, 2048]","[2048, 2048, 2049, 2048, 2048, 2048, 2048]",291.0
1239,9550,4,5,2024-06-30T13:07:46.707000+00:00,17.683,31.491,21.25,293.0,228.0,False,70.424,"[2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",287.0
1239,9550,63,5,2024-06-30T13:07:48.445000+00:00,17.61,31.332,21.251,294.0,224.0,False,70.193,"[2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2049, 2049]","[2049, 2048, 2051, 2049, 2048, 2048, 2048]",294.0
1239,9550,44,5,2024-06-30T13:07:49.297000+00:00,17.32,31.679,21.477,313.0,228.0,False,70.476,"[2049, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2049]","[2049, 2048, 2048, 2048, 2048, 2048, 2048]",299.0
1239,9550,11,5,2024-06-30T13:07:50.981000+00:00,17.38,31.562,21.697,312.0,222.0,False,70.639,"[2048, 2049, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2049, 2048, 2049]","[2048, 2048, 2048, 2049, 2048, 2048, 2048]",305.0
1239,9550,16,5,2024-06-30T13:08:24.518000+00:00,17.705,31.508,21.472,296.0,225.0,False,70.685,"[None, 2049, 2048, 2048, 2049, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2049, 2048, 2049, 2048, 2048, 2048, 2049]",290.0
1239,9550,1,6,2024-06-30T13:08:54.405000+00:00,17.698,31.295,21.245,,229.0,False,70.238,"[2048, 2048, 2048, 2048, 2049, 2049]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2049, 2048, 2048, 2048, 2048]",289.0
1239,9550,4,6,2024-06-30T13:08:57.104000+00:00,17.725,31.383,21.221,295.0,229.0,False,70.329,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2049, 2048, 2049]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",287.0
1239,9550,63,6,2024-06-30T13:08:58.691000+00:00,17.616,31.962,21.455,298.0,219.0,False,71.033,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",285.0
1239,9550,44,6,2024-06-30T13:08:59.794000+00:00,18.363,32.206,21.468,282.0,231.0,False,72.037,"[2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",302.0
1239,9550,11,6,2024-06-30T13:09:01.585000+00:00,17.7,31.832,21.688,296.0,221.0,False,71.22,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2049, 2048, 2048, 2049]","[2048, 2048, 2049, 2048, 2049, 2048, 2048]",306.0
1239,9550,16,6,2024-06-30T13:09:35.203000+00:00,17.727,31.485,21.358,302.0,230.0,False,70.57,"[2049, 2049, 2048, 2048, 2048, 2049]","[2048, 2048, 2048, 2048, 2049, 2048, 2048]","[2049, 2048, 2049, 2048, 2048, 2048, 2049]",296.0
1239,9550,1,7,2024-06-30T13:10:04.606000+00:00,17.635,31.296,21.289,295.0,232.0,False,70.22,"[None, 2048, 2048, 2048, 2048, 2049]","[2048, 2048, 2048, 2049, 2048, 2049, 2048]","[2048, 2048, 2049, 2048, 2048, 2048, 2048]",291.0
1239,9550,4,7,2024-06-30T13:10:07.480000+00:00,17.72,31.624,21.195,296.0,230.0,False,70.539,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2049]","[2049, 2049, 2048, 2048, 2048, 2048, 2048]",290.0
1239,9550,63,7,2024-06-30T13:10:09.738000+00:00,17.624,31.646,21.412,,230.0,False,70.682,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",294.0
1239,9550,44,7,2024-06-30T13:10:11.817000+00:00,17.457,31.937,21.804,311.0,232.0,False,71.198,"[2049, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2049, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",315.0
1239,9550,11,7,2024-06-30T13:10:12.790000+00:00,17.703,32.711,22.067,295.0,219.0,False,72.481,"[None, 2048, 2048, 2048, 2048, 2048]","[2049, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",299.0
1239,9550,16,7,2024-06-30T13:10:45.827000+00:00,17.827,31.544,21.509,295.0,225.0,False,70.88,"[2048, 2048, 2048, 2048, 2049, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",288.0
1239,9550,1,8,2024-06-30T13:11:14.720000+00:00,17.75,31.375,21.206,293.0,230.0,False,70.331,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",287.0
1239,9550,4,8,2024-06-30T13:11:18.068000+00:00,17.696,31.522,21.294,297.0,230.0,False,70.512,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2049, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",290.0
1239,9550,63,8,2024-06-30T13:11:20.410000+00:00,17.696,31.695,21.264,,228.0,False,70.655,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2049]",290.0
1239,9550,44,8,2024-06-30T13:11:23.064000+00:00,17.502,32.089,21.619,320.0,223.0,False,71.21,"[2048, 2048, 2048, 2048, 2048, 2049]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",303.0
1239,9550,11,8,2024-06-30T13:11:25.363000+00:00,17.533,32.3,21.893,311.0,220.0,False,71.726,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",305.0
1239,9550,16,8,2024-06-30T13:11:56.693000+00:00,17.783,31.544,21.408,294.0,226.0,False,70.735,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2049]",289.0
1239,9550,1,9,2024-06-30T13:12:25.132000+00:00,17.71,31.475,21.415,,227.0,False,70.6,"[2049, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",289.0
1239,9550,4,9,2024-06-30T13:12:28.465000+00:00,17.705,31.469,21.272,298.0,229.0,False,70.446,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2049, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",291.0
1239,9550,63,9,2024-06-30T13:12:31.084000+00:00,17.626,31.611,21.391,299.0,229.0,False,70.628,"[2049, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",293.0
1239,9550,44,9,2024-06-30T13:12:34.268000+00:00,17.489,31.921,21.571,316.0,231.0,False,70.981,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",303.0
1239,9550,11,9,2024-06-30T13:12:37.057000+00:00,17.916,31.879,21.733,294.0,221.0,False,71.528,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2049]","[2048, 2048, 2048, 2049, 2049, 2048, 2048]",289.0
1239,9550,16,9,2024-06-30T13:13:07.463000+00:00,17.782,31.551,21.473,297.0,222.0,False,70.806,"[None, 2048, 2048, 2049, 2049, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2049, 2048, 2048, 2048, 2048, 2048, 2049]",290.0
1239,9550,1,10,2024-06-30T13:13:35.778000+00:00,17.785,31.451,21.36,295.0,228.0,False,70.596,"[2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2049, 2048, 2048, 2048, 2048]",290.0
1239,9550,4,10,2024-06-30T13:13:38.948000+00:00,17.702,32.561,21.488,,229.0,False,71.751,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",291.0
1239,9550,63,10,2024-06-30T13:13:41.617000+00:00,17.717,32.021,21.525,300.0,228.0,False,71.263,"[2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",291.0
1239,9550,44,10,2024-06-30T13:13:45.212000+00:00,17.481,31.948,21.568,310.0,228.0,False,70.997,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",310.0
1239,9550,11,10,2024-06-30T13:13:48.519000+00:00,17.806,32.014,21.786,295.0,219.0,False,71.606,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2049, 2049, 2048, 2048, 2048]",288.0
1239,9550,16,10,2024-06-30T13:14:18.278000+00:00,17.832,31.715,21.332,300.0,228.0,False,70.879,"[2049, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2049, 2049, 2049, 2048, 2048, 2048, 2048]",295.0
1239,9550,1,11,2024-06-30T13:14:46.362000+00:00,17.741,31.439,21.382,294.0,228.0,False,70.562,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",289.0
1239,9550,4,11,2024-06-30T13:14:50.671000+00:00,17.77,31.712,21.362,299.0,229.0,False,70.844,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",292.0
1239,9550,63,11,2024-06-30T13:14:52.881000+00:00,17.754,32.018,21.509,298.0,226.0,False,71.281,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",288.0
1239,9550,44,11,2024-06-30T13:14:56.215000+00:00,17.546,31.925,21.746,311.0,229.0,False,71.217,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",305.0
1239,9550,11,11,2024-06-30T13:15:00.107000+00:00,17.846,31.914,21.817,,222.0,False,71.577,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2049, 2048, 2048]","[2048, 2048, 2048, 2048, 2049, 2048, 2048]",290.0
1239,9550,16,11,2024-06-30T13:15:29.069000+00:00,17.881,31.842,21.418,297.0,224.0,False,71.141,"[2048, 2048, 2048, 2048, 2049, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2049, 2048, 2048, 2048, 2048, 2049]",291.0
1239,9550,1,12,2024-06-30T13:15:56.834000+00:00,17.697,31.454,21.361,297.0,230.0,False,70.512,"[None, 2048, 2048, 2048, 2049, 2049]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2049, 2048, 2048, 2048, 2048]",289.0
1239,9550,4,12,2024-06-30T13:16:01.542000+00:00,17.753,31.76,21.372,,230.0,False,70.885,"[None, 2048, 2048, 2048, 2048, 2049]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",291.0
1239,9550,63,12,2024-06-30T13:16:04.220000+00:00,17.76,31.876,21.499,302.0,230.0,False,71.135,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",294.0
1239,9550,44,12,2024-06-30T13:16:07.392000+00:00,17.773,31.867,21.597,299.0,231.0,False,71.237,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2049, 2048, 2049]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",294.0
1239,9550,11,12,2024-06-30T13:16:11.753000+00:00,17.879,32.081,21.732,296.0,225.0,False,71.692,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2049]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",288.0
1239,9550,16,12,2024-06-30T13:16:40.222000+00:00,17.785,31.979,21.625,308.0,224.0,False,71.389,"[None, 2048, 2048, 2048, 2048, 2049]","[2048, 2048, 2048, 2049, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",306.0
1239,9550,1,13,2024-06-30T13:17:07.372000+00:00,17.771,31.754,21.43,292.0,227.0,False,70.955,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2049, 2048, 2048, 2048]","[2048, 2048, 2049, 2048, 2048, 2048, 2048]",292.0
1239,9550,4,13,2024-06-30T13:17:12.385000+00:00,17.811,31.813,21.44,297.0,228.0,False,71.064,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2049, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",292.0
1239,9550,63,13,2024-06-30T13:17:15.383000+00:00,17.788,32.033,21.5,299.0,228.0,False,71.321,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",295.0
1239,9550,44,13,2024-06-30T13:17:18.682000+00:00,17.808,31.968,21.578,293.0,229.0,False,71.354,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2049, 2048, 2048]","[2048, 2048, 2048, 2049, 2048, 2048, 2048]",294.0
1239,9550,11,13,2024-06-30T13:17:23.473000+00:00,17.931,31.887,21.764,292.0,222.0,False,71.582,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",289.0
1239,9550,16,13,2024-06-30T13:17:51.652000+00:00,17.793,31.934,21.732,300.0,224.0,False,71.459,"[2049, 2048, 2048, 2048, 2049, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",302.0
1239,9550,1,14,2024-06-30T13:18:18.395000+00:00,17.734,31.51,21.463,294.0,231.0,False,70.707,"[2049, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2049, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",294.0
1239,9550,4,14,2024-06-30T13:18:23.451000+00:00,17.754,31.885,21.464,299.0,227.0,False,71.103,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",291.0
1239,9550,63,14,2024-06-30T13:18:26.738000+00:00,17.797,32.072,21.571,300.0,231.0,False,71.44,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",292.0
1239,9550,44,14,2024-06-30T13:18:30.064000+00:00,17.904,31.991,21.604,294.0,228.0,False,71.499,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",291.0
1239,9550,11,14,2024-06-30T13:18:35.082000+00:00,17.838,31.799,21.83,295.0,223.0,False,71.467,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",288.0
